date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,us_aqi,european_aqi,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure,unhealthy_air
2013-01-01,32.69047619047619,18.98095238095238,243.16666666666663,25.44285714285714,6.316666666666666,24.666666666666668,0.5,,,Partly cloudy,0.08,9,7,08:29:00,17:47:00,22:0:00,10:29:00,17,84,1022,0
2013-01-02,90.81666666666666,68.87083333333332,243.16666666666663,57.74166666666667,6.316666666666666,11.791666666666666,0.5,107.9047619047619,69.42857142857143,Sunny,0.0,10,8,08:29:00,17:48:00,23:2:00,10:59:00,4,78,1024,1
2013-01-03,85.12083333333334,68.25833333333334,243.16666666666663,54.12916666666666,6.316666666666666,8.041666666666666,0.5,163.625,105.125,Sunny,0.0,10,8,08:29:00,17:49:00,,11:28:00,8,82,1028,1
2013-01-04,58.01666666666667,47.86666666666667,243.16666666666663,33.49166666666667,6.316666666666666,27.625,0.5,149.5,86.375,Sunny,0.45,9,7,08:29:00,17:49:00,12:6:00,11:58:00,14,77,1021,1
2013-01-05,37.275,34.1,243.16666666666663,36.583333333333336,6.316666666666666,21.0,0.5,99.625,67.91666666666667,Partly cloudy,3.26,8,7,08:29:00,17:50:00,1:11:00,0:29:00,12,72,1013,1
2013-01-06,23.854166666666668,19.0125,243.16666666666663,28.329166666666666,6.316666666666666,23.625,0.5,89.91666666666667,62.458333333333336,Cloudy,1.75,7,5,08:29:00,17:51:00,2:18:00,13:6:00,23,75,1011,1
2013-01-07,16.925,13.391666666666666,243.16666666666663,22.516666666666666,6.316666666666666,27.666666666666668,0.5,56.083333333333336,29.791666666666668,Partly cloudy,6.98,4,3,08:29:00,17:52:00,3:28:00,13:48:00,26,77,1013,0
2013-01-08,15.158333333333331,7.183333333333334,243.16666666666663,11.441666666666665,6.316666666666666,39.375,0.5,38.66666666666666,19.625,Blizzard,1.82,2,0,08:29:00,17:53:00,4:38:00,14:37:00,35,78,1021,0
2013-01-09,26.620833333333334,19.904166666666665,243.16666666666663,25.816666666666663,6.316666666666666,29.95833333333333,0.5,40.708333333333336,21.08333333333333,Partly cloudy,0.27,1,1,08:29:00,17:54:00,5:46:00,15:35:00,17,73,1023,0
2013-01-10,34.45,28.516666666666666,243.16666666666663,29.15,6.316666666666666,30.416666666666668,0.5,89.75,62.833333333333336,Sunny,0.01,6,1,08:28:00,17:55:00,6:49:00,16:40:00,17,70,1021,1
2013-01-11,14.204166666666666,10.475,243.16666666666663,10.85,6.316666666666666,58.583333333333336,0.5,59.79166666666666,36.29166666666666,Partly cloudy,0.29,8,6,08:28:00,17:56:00,7:44:00,17:51:00,27,69,1014,0
2013-01-12,19.7875,14.429166666666667,243.16666666666663,30.229166666666668,6.316666666666666,40.41666666666666,0.5,44.41666666666666,24.916666666666668,Partly cloudy,0.0,10,6,08:28:00,17:57:00,8:31:00,19:4:00,19,87,1013,0
2013-01-13,33.15416666666667,18.916666666666668,243.16666666666663,28.40833333333333,6.316666666666666,26.041666666666668,0.5,57.833333333333336,31.416666666666668,Overcast,0.0,6,5,08:28:00,17:58:00,9:13:00,20:16:00,14,84,1024,0
2013-01-14,64.39166666666667,51.42916666666667,243.16666666666663,47.0125,6.316666666666666,16.166666666666668,0.5,98.70833333333331,64.66666666666667,Sunny,0.0,9,5,08:27:00,18:0:00,9:48:00,21:26:00,7,75,1027,1
2013-01-15,58.3625,51.37083333333334,243.16666666666663,44.2125,6.316666666666666,13.625,0.5,150.5,86.79166666666667,Sunny,0.0,10,8,08:27:00,18:1:00,10:20:00,22:32:00,13,64,1024,1
2013-01-16,24.7125,23.679166666666664,243.16666666666663,22.96666666666667,6.316666666666666,33.75,0.5,103.45833333333331,69.125,Sunny,1.6,13,8,08:26:00,18:2:00,10:50:00,23:37:00,20,67,1013,1
